PDF_Fname,Title,Question,Short Answer,Long Answer,page,Chart Type
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,從 FY21 到 1Q25，哪一年（或季度）的帳面淨值最高？,FY21,FY21，914.0 億元,7,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,哪一季的資產平均收益率（Avg. rate of interest-earning assets）最高？,9M24,9M24，為 3.07%,13,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY21～1Q25 中 SME 放款金額最高的是哪一年？,1Q25,最高為 1Q25，金額為 340.0 億元。,15,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,從 FY20 到 FY24 的五年間，哪一年海外獲利金額最低？,FY23,最低為 FY23，僅 3.2 億元。,16,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,哪一年財富管理手續費淨收益最高？,FY24,FY24 為最高，達 NT$16.0B。,17,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,哪一年「健康及意外險」的總保費收入最高？,FY24,FY24 年最高，為 NT$123.6B,20,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY20～FY24 中，哪一年新契約價值最高？,FY24,FY24 為最高，NT$33.8B,22,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY19～FY24 之中，哪一年負債成本最高？,FY19,FY19 為最高，為 3.95%,23,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,請依照 1Q25 各資產報酬率從高到低排序前三名。,國內股票 > 國外股票>國內債券,國內股票（11.7%）> 國外股票（7.8%）>國內債券（5.2%）,24,表格
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,請依照避險後投資收益率的高低排序 1Q21～1Q25 各季資料。,1Q21> 1Q22 > 1Q24 > 1Q25 > 1Q23,1Q21（6.31%） > 1Q22（4.74%） > 1Q24（4.39%） > 1Q25（4.01%） > 1Q23（2.69%）,25,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,在 1Q25 的「外幣資產避險結構」中，各項目依占比由高到低排序為何？,Currency swap & NDF > Proxy & open > FVOCI & FVTPL overlay,"1. Currency swap & NDF（69%）

2. Proxy & open（22%）

3. FVOCI & FVTPL overlay（9%）",26,圓餅圖
