PDF_Fname,Title,Question,Short Answer,Long Answer,page,Chart Type
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,2024 年第一季的稅後淨利與去年同期相比成長多少？, -5.4 億元,衰退 5.4 億元（從 37.6 億下降至 32.2 億）,5,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 與 FY23 的帳面淨值相比是上升還是下降？,上升,上升，從 801.4 億（FY22）→ 906.5 億（FY24）,7,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 的外幣放款相較 FY23 成長了多少？,67.3 億元,從 214.6 億元增加至 281.9 億元，成長 67.3 億元。,15,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,2025 年第一季的海外獲利較去年同期成長了多少？,104%,從 1Q24 的 1.4 億元增加至 1Q25 的 2.8 億元，年增幅為 104%,17,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 與 1Q24 相比，手續費淨收益總額成長了多少？,33%,從 NT$7.7B 成長至 NT$10.2B，年增 33%。,17,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 相比 1Q24，總保費收入成長了多少？,24%,從 NT$107.3B 成長至 NT$133.5B，成長幅度為 24%。,20,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,新契約價值在 1Q25 較 1Q24 成長多少？,9%,從 NT$8.7B 成長至 NT$9.4B，年增 9%。,22,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 與 1Q24 的負債成本有什麼變化？,上升,從 3.77%（1Q24）上升至 3.79%（1Q25）,23,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q23 與 1Q25 的避險後投資收益率相比，哪一季表現較好？,1Q25,1Q23：2.69% 1Q25：4.01% → 1Q25 表現較好,25,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 與 1Q24 的「避險前經常性投資收益率」相差多少個百分點？,0.17 個,1Q25 為 3.40%，1Q24 為 3.23%，相差 0.17 個百分點。,26,長條圖
