PDF_Fname,Title,Question,Short Answer,Long Answer,page,Chart Type
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 國泰產險的稅後淨利為多少億元？,2.6億,2.6億,6,群組長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 的普通股每股淨值是多少？,54.3 元,54.3 元,7,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY21海外獲利金額,為 9.1 億元,為 9.1 億元,16,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,請列出 FY24 手續費淨收益各構成項目的金額 單位：NT$B,信用卡 9.3、財富管理 16.0、外匯管理 0.01、聯貸 0.6、其他 1.9。,信用卡 9.3、財富管理 16.0、外匯管理 0.01、聯貸 0.6、其他 1.9。,17,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY20 的負債成本是多少？,3.83%,3.83%,23,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 的損益兩平資產報酬率為多少,2.83%,2.83%,23,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,請列出 1Q21～1Q25 的避險後投資收益率數值。,"1Q21：6.31%

1Q22：4.74%

1Q23：2.69%

1Q24：4.39%

1Q25：4.01%","1Q21：6.31%

1Q22：4.74%

1Q23：2.69%

1Q24：4.39%

1Q25：4.01%",25,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 的外幣資產避險成本為多少？,0.80%,0.80%,26,圓餅圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,1Q25 的 25 個月續約率是多少？,95.50%,95.50%,30,群組長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 的水險保費收入為多少？,收入為 1.5 NT$BN,收入為 1.5 NT$BN,32,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY24 的水險保費收入佔比為多少？,3.9%。,3.9%。,32,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,2024 年新契約價值為多少？,348 億元,348 億元,41,瀑布圖
