PDF_Fname,Title,Question,Short Answer,Long Answer,page,Chart Type
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,從 FY22 到 FY24，國泰金控的稅後淨利呈現什麼趨勢？,上升,逐年上升：38.0 → 51.5 → 111.2 億元,5,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,從 FY22 到 FY24，每股淨值呈現什麼趨勢？,上升,穩定上升：34.6 → 47.5 → 54.3,7,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,Funding cost 從 FY21 到 FY24 呈現什麼趨勢？,先下後上再略為下滑,先大幅下滑（FY21：0.30%），後逐步上升至 FY24（1.50%），1Q25 再略降至 1.37%,13,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,SME 放款金額從 FY21 到 1Q25 是否逐年穩定上升？,逐步成長,放款從 270.2 億（FY21）逐步成長至 340.0 億（1Q25）。,15,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,海外獲利佔比在 FY20 至 FY23 呈現什麼趨勢？,下滑,持續下滑，從 45.9%（FY20）一路下降至 8.9%（FY23）。,16,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY22 到 FY24 的信用卡手續費淨收益呈現什麼趨勢？,上升,持續上升，從 NT$5.2B → 7.0B → 9.3B。,17,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,FY22～FY24 傳統型壽險－保障型的收入有什麼變化？,上升,逐年上升，從 NT$55.9B（FY22）→ 59.6B（FY23）→ 62.1B（FY24）。,20,堆疊長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,從 FY21 到 FY24，VNB/FYP 的變化趨勢為何？,上升,由 14%（FY21）逐年上升至 22%（FY24）,22,長條圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,損益兩平資產報酬率從 FY22 到 1Q25 呈現什麼趨勢？,先跌後升,由 3.15% 下降至 2.83%（FY24），後於 1Q25 回升至 3.01%，呈現先跌後升趨勢。,23,折線圖
1Q25_MP_Chinese_Vupload.pdf,2025年第一季法人說明會,請說明 FY20～FY24 避險後投資收益率的變化趨勢。,先升後降,先上升（FY20 → FY21），再下降至 FY23，最後在 FY24 稍微回升。整體呈先升後降略回升的趨勢。,25,長條圖
